"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Grains/Cereal - Ready to Eat - (Shelf Stable)","1.87","0.39","46.53","205.27","36.1","51"
"Vegetables - Prepared/Processed (Frozen)","5.35","1.05","32.56","146.6","5.69","251"
"Vegetables - Prepared/Processed (Shelf Stable)","6.72","0.72","22.58","129.44","3.18","851"
"Fatty Acid Supplements","0.17","8.68","0.39","76.63","0.04","154"
"Beer","0.39","0.0","7.7","76.02","4.18","81"
"Vegetable & Cooking Oils","0.06","8.35","0.08","72.83","0.02","178796"
"Biscuits Chocolate","0.77","2.97","9.55","68.13","5.22","70"
"Snack Foods - Nuts","1.3","3.07","8.0","66.41","6.21","63"
"Confectionery","0.77","2.91","7.16","61.22","5.9","619"
"Snack Foods - Cereal Snacks","1.26","2.81","5.6","55.47","1.15","64"
"Biscuits Cracker","1.27","2.54","6.28","53.75","1.12","93"
"Butter & Spread","0.07","5.78","0.38","53.57","0.27","93903"
"Baking Accessories","0.41","1.96","8.18","50.68","5.91","282"
"Snack Foods - Chips","1.2","2.79","4.9","50.33","0.24","126"
"Cheese - Speciality ","3.12","4.03","0.68","50.15","0.38","188"
"Baking Needs","1.13","1.48","7.39","48.95","4.18","188"
"Spreads","1.35","2.6","7.19","48.67","6.57","497"
"Fats Edible","0.0","5.02","0.0","45.02","0.0","1495"
"Cheese - Block","2.17","3.56","1.08","43.46","0.21","84"
"Vitamins","0.25","3.24","1.44","43.02","0.68","532"
"Sugar And Flour","0.77","0.08","12.86","41.93","8.56","99"
"Cakes and Slices","0.68","1.6","6.18","41.66","4.09","58"
"Salad Dressings","1.2","3.44","1.4","41.39","0.96","71"
"Breakfast Foods","1.15","2.91","2.92","41.39","1.7","841"
"Oral Hygiene Products","0.0","0.0","14.68","41.01","0.0","85"
"Snack Foods - Other","1.88","2.75","2.05","40.67","0.49","237"
"Nuts/Seeds  Unprepared/Unprocessed (Shelf Stable)","1.91","2.62","2.14","40.5","0.24","126"
"Nut & Seed Butters","1.38","3.22","1.88","40.0","0.88","167888"
"Honey","0.03","0.03","10.72","39.6","10.2","38336"
"Nuts/Seeds - Prepared/Processed (Out of Shell)","1.36","3.46","1.56","39.2","0.82","75"
"Green Supplements","3.79","0.5","4.59","38.24","0.55","1562"
"Taco Shells","0.81","1.36","5.57","37.82","0.43","56"
"Dips/Hummus/Pate","0.9","3.12","1.53","37.58","0.89","92"
"Frozen Meals","1.0","1.51","4.37","36.68","0.28","132"
"Sauces- Cooking","0.96","3.45","1.65","36.45","1.05","53"
"Chewing Gum & Mints","0.02","0.03","9.63","36.36","3.64","47576"
"Chocolate","0.5","2.21","3.97","36.31","3.16","555682"
"Popcorn, Peanuts, Seeds & Related Snacks","0.93","2.57","2.79","36.21","1.26","1286425"
"Baking Decorations & Dessert Toppings","0.17","1.17","6.36","35.72","4.99","179349"
"Nuts/Seeds - Prepared/Processed (Shelf Stable)","1.47","2.75","1.04","34.55","0.17","351"
"Wrapped Snacks - Muesli Bars","0.98","2.08","6.37","34.44","3.29","61"
"Alcoholic Beverages","0.16","0.0","0.0","34.3","0.71","73"
"Syrups & Molasses","0.05","0.04","8.61","34.09","7.08","72081"
"Nuts/Seeds - Prepared/Processed","1.37","2.69","1.0","33.49","0.2","4234"
"Herbal Supplements","0.63","0.05","7.32","33.27","4.54","728"
"Bacon, Sausages & Ribs","2.12","2.62","0.21","33.0","0.12","77345"
"Nuts/Seeds  Prepared/Processed","1.35","3.02","1.46","32.8","0.53","3384"
"Bread - Incl. Buns And Rolls","1.06","0.74","5.18","32.79","0.33","126"
"Candy","0.24","0.63","6.69","32.73","5.05","1003086"
"Confection & Snacks","0.71","1.8","4.14","32.7","2.12","831"
"Chips, Pretzels & Snacks","0.55","1.65","3.93","32.53","0.28","723322"
"Includes any products that can be described/observed as a substance which can be heated and combined with other ingredients, such as pasta, rice and chicken, to produce a specific recipe, such as Bolognese, Carbonara, Chicken Korma or Thai Curry. These products have been treated or packaged in such a way as to extend their consumable life. Excludes products such as Sauces Dipping and Condiments and Savoury Spreads and Marinades, Perishable and Frozen Sauces Cooking.","0.0","1.43","4.5","32.26","0.12","139"
"Dried Breads (Shelf Stable)","0.52","1.48","4.21","31.99","0.1","118"
